type of market,comment
Покупатель квартиры c 3 спальнями и 2 ванными. ,"Вам предлагают 65000 $ за доходный дом 3/2. Покупатель финансирует сделку сам, любой игрок может продать своих собственнjcnm за эту цену. Если вы продаете погасите остаток ипотечного кредита, вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель квартиры c 3 спальнями и 2 ванными. ,"Ваш шурин потерял работу и хочет купить ваш доходный дом 3/2. Он обещает через 4 года заплатить вам 100000$, но у него нет никаких доходов или сбережений. Он может выплачивать небольшие суммы ежемесячно, но у него нет денег на первый взнос. Если вы продадите дом на его условиях, ваш доход уменьшится на 500$ в месяц, пока Шурин не даст вам все 100000$."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 35000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 35000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 40000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 25000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 30000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 40000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 25000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 30000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 30000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает по 35000$ за каждую квартиру. Готов купить любые дуплексы, 4-плексы или 8-плексы. Покупатель финансирует сделку сам. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает купить любые многоквартирные дома по 45000$ за каждую квартиру. Сделку финансирует сам. (Предоставленный ему срок свободного от налога обмена 1031 истекает.) Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает купить любые многоквартирные дома по 40000$ за каждую квартиру. Сделку финансирует сам. (Предоставленный ему срок свободного от налога обмена 1031 истекает.) Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Покупатель предлагает купить любые многоквартирные дома по 25000$ за каждую квартиру. Сделку финансирует сам. (Предоставленный ему срок свободного от налога обмена 1031 истекает.) Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Покупатель многоквартирных домов. ,"Ипотечный и инвестиционный траст предлагает купить дома, в которых более 12 квартир, по 30 000$ за каждую квартиру. Сделку он финансирует сам. У покупателя есть деньги, вырученные от продажи многоквартирного дома в другом городе. Любой игрок может продать свою собственность за эту цену. Если вы продаете, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
Продажа ограниченного партнерства.," Ваш бизнес был продан, и вы получаете сумму вдвое превышающую стоимость вашей первоначальной доли. Вы были согласны продать, если основательница компании решит уйти из организации, что она и сделала. Новые владельцы и финансируют покупку сами. Это касается всех ограниченных партнёрств. Если вы являетесь членом одного из них, немедленно получите наличные и уменьшите в отчёте сумму своих доходов."
Продажа ограниченного партнерства.," Ваш бизнес был продан, и вы получаете сумму втрое превышающую стоимость вашей первоначальной доли. Вы были согласны продать, если основательница компании решит уйти из организации, что она и сделала. Новые владельцы и финансируют покупку сами. Это касается всех ограниченных партнёрств. Если вы являетесь членом одного из них, немедленно получите наличные и уменьшите в отчёте сумму своих доходов."
Продажа ограниченного партнерства.," Ваш бизнес был продан, и вы получаете сумму вдвое превышающую стоимость вашей первоначальной доли. Вы были согласны продать, если основательница компании решит уйти из организации, что она и сделала. Новые владельцы и финансируют покупку сами. Это касается всех ограниченных партнёрств. Если вы являетесь членом одного из них, немедленно получите наличные и уменьшите в отчёте сумму своих доходов."
Всплеск инфляции. ,"Уровень инфляции достиг 10%. Процентные ставки на жилищные кредиты выросли до 20%. Банки конфискуют все доходные дома 3/2, которыми вы (но не другие игроки) владеете. Вы финансировали их ипотечными займами c плавающей процентной ставкой. Вы должны отдать банку свой дом или доход дома 3/2. Вы теряете весь денежный поток от этой собственности."
Коллекционеру необходимы золотые монеты. ,"Нумизмат ищет настоящие золотые монеты эпохи заселения Нового Света номиналом в один песо, чеканившиеся в XVI веке только в Гаване. Может предложить любому по 5000 за каждую монету."
Застройщику необходимо земля," Градостроительное управление требует, чтобы застройщик включил в план парк площадью 10 акров, иначе не будет утвержден проект нового микрорайона. Застройщику необходим участок в 10 акров с естественным ручьем. Он предлагает 150 000 $ наличными каждому, кто владеет такой собственностью. Если вы решите продать, вычеркните из отчета денежный поток, который вы сейчас получаете от этой собственности."
Покупатель 20 акров земли. ,"Застройщик желает купить участок земли в 20 акров. Он собирается перевести землю из жилой зоны в коммерческую. 200 000 $ наличными может получить любой, кто владеет 20 акрами земли в жилой зоны. Если вы решите продать, вычеркните из отчета денежный поток, который вы сейчас получаете от этой собственности."
Цена на золото стремительно растет.," Обострение обстановки на Ближнем Востоке. Под угрозой цены на нефть. Цена на золото взлетает до 600 $ за унцию. Каждый, у кого есть крюгерранды, весом в 1 унцию, может продать их по цене."
Покупатель автомойки. ,"Покупатель говорит с желанием купить автомойку для автомобилей. Готов вложить за неё 250 000$ наличными. Это его предел. Каждый, кто владеет автомойкой, может продать их её по этой цене. Если вы продаёте, погасите остаток ипотечного кредита и вычеркните из отчёта денежный поток, который сейчас получаете от этой собственности. "
Покупатель компании автомобильных наворотов.," Инженер-изобретатель, владеющий машиностроительной компанией, предлагает 50 000$ наличными за рационализаторский способ производства автомобильных наворотов. Каждый, кто владеет этой компанией, может продать её по этой цене."
 Продолжение купить торговый пассаж.," Крупная розничная торговая фирма приезжает в ваш город. Ищет возможность приобрести небольшой торговый пассаж. Они готовы заплатить 100 000$ каждому, кто владеет небольшим торговым пассажем. Если вы решите продать, вычеркните из отчёта денежный поток, который сейчас получаете от этой собственности."
 Покупатели пансиона. ,"Супружеская чета решила изменить свою жизнь и бросить надоевшую работу на корпорацию. Располагают значительнми сбереженями. Ищут доходный пансион с ночлегом и завтраком. Готовы хоть сегодня заплатить 250 000$ наличными. Каждый, кто владеет пансионом, который приносит прибыль, может продать его по этой цене. Если вы продаёте по госте остатки ипотечного кредита, вычеркните из отчёта денежный поток, который сейчас получаете от этой собственности. "
Покупатель компании программных продуктов. ,"Крупная компания программных продуктов предлагает 100 000$ за рационализаторскую программу, производящую её компанию. Любой, кто владеет компанией программных продуктов, может продать её за эту цену. Если вы решите продать, вычеркните из отчёта денежный поток, который сейчас получаете от этой собственности."
Положение мелкого бизнеса улучшается. ,"Основанное вами мелкое предприятия было удостоено отраслевой награды за инновационный продукт. Широкая известность приводит к удвоению объема продаж. В результате вам приходится уделять предприятию больше времени, но зато ваша чистая месячная прибыль растет на 250$. Это касается у каждого, кто успел открыть собственный бизнес, они могут увеличить доходность всех своих предприятий такого типа на 250$ в месяц."
Положение мелкого бизнеса улучшается. ,"Вы нашли для основанного вами мелкого бизнеса крупную компанию, распространяющую вашу продукцию. Ваш объём продаж увеличивается на 150%. В результате у них появляются большие проблемы, и вам приходится уделять предприятию больше времени, но зато ваш месячная прибыль возрастает на 400$. Это касается каждого, кто успел открыть собственный бизнес; они могут увеличить доходность всех своих предприятий такого типа на 400$ в месяц."
Процентные ставки падают. ,"Проценты ставки по жилищным кредитам упали до 5%. Если вы, (но не другие игроки) владеете доходными домами 3/ 2, то можете продать их по цене, превышающей начальную на 50 000$. Если вы продает, погасите остаток ипотечного кредита и вычеркните из отчета денежный поток, который сейчас получаете от этой собственности."
